!Housing prices part 1 csv
!Represents quality of house, area, etc
!
Id|ActiveDate|EndDate|MSSubClass|MSZoning|LotFrontage|LotArea|Street|Alley|LotShape|LandContour|Utilities|LotConfig|LandSlope|Neighborhood|Condition1|Condition2|BldgType|HouseStyle|OverallQual|OverallCond|YearBuilt|YearRemodAdd|RoofStyle|RoofMatl|Exterior1st|Exterior2nd|MasVnrType|MasVnrArea|ExterQual|ExterCond|Foundation|BsmtQual|BsmtCond|BsmtExposure|BsmtFinType1|BsmtFinSF1|BsmtFinType2|BsmtFinSF2|BsmtUnfSF|Heating|HeatingQC|CentralAir|Electrical|1stFlrSF|2ndFlrSF|LowQualFinSF|BsmtFullBath|BsmtHalfBath|FullBath|HalfBath|BedroomAbvGr|KitchenAbvGr|KitchenQual|TotRmsAbvGrd|Functional|Fireplaces|FireplaceQu|GarageType|GarageYrBlt|GarageFinish|GarageCars|GarageArea|GarageQual|GarageCond|PavedDrive|WoodDeckSF|OpenPorchSF|EnclosedPorch|3SsnPorch|ScreenPorch|PoolArea|PoolQC|Fence|MiscFeature|MiscVal|SaleType|SaleCondition|SalePrice|DealCode|DateSold
1|||60|RL|65|8450|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|1Fam|2Story|7|5|2003|2003|Gable|CompShg|VinylSd|VinylSd|BrkFace|196|Gd|TA|PConc|Gd|TA|No|GLQ|706|Unf|0|150|GasA|Ex|Y|SBrkr|856|854|0|1|0|2|1|3|1|Gd|8|Typ|0|NA|Attchd|2003|RFn|2|548|TA|TA|Y|0|61|0|0|0|0|NA|NA|NA|0|WD|Normal|208500,00|N/a|20/2/2008
2||||RL|80|9600|Pave|NA|Reg|Lvl|AllPub|FR2|Gtl|Veenker|Feedr|Norm|1Fam|1Story|6|8|1976|1976|Gable|CompShg|MetalSd|MetalSd|None|0|TA|TA|CBlock|Gd|TA|Gd|ALQ|978|Unf|0|284|GasA|Ex|Y|SBrkr|1262|0|0||1|2||3|1|TA|6|Typ|1|TA|Attchd|1976|RFn|2|460|TA|TA|Y|298|0|0|0|0|0|NA|NA|NA|0|WD|Normal|181500,00|N/a|20/5/2007
3|25/02/2018|06/22/2022 12:00:00|60|RL|68|11250|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|1Fam|2Story|7|5|2001|2002|Gable|CompShg|VinylSd|VinylSd|BrkFace|162|Gd|TA|PConc|Gd|TA|Mn|GLQ|486|Unf|0|434|GasA|Ex|Y|SBrkr|920|866|0|1|0|2|1|3|1|Gd|6|Typ|1|TA|Attchd|2001|RFn|2|608|TA|TA|Y|0|42|0|0|0|0|NA|NA|NA|0|WD|Normal|223500,00|N/a|20/9/2008
4|25/02/2018|06/23/2022 12:00:00|70|RL|60|9550|Pave|NA|IR1|Lvl|AllPub|Corner|Gtl|Crawfor|Norm|Norm|1Fam|2Story|7|5|1915|1970|Gable|CompShg|Wd Sdng|Wd Shng|None|0|TA|TA|BrkTil|TA|Gd|No|ALQ|216|Unf|0|540|GasA|Gd|Y|SBrkr|961|756|0|1|0|1|0|3|1|Gd|7|Typ|1|Gd|Detchd|1998|Unf|3|642|TA|TA|Y|0|35|272|0|0|0|NA|NA|NA|0|WD|Abnorml|140000,00|N/a|20/2/2006
5|25/02/2018|06/24/2022 12:00:00|60|RL|84|14260|Pave|NA|IR1|Lvl|AllPub|FR2|Gtl|NoRidge|Norm|Norm|1Fam|2Story|8|5|2000|2000|Gable|CompShg|VinylSd|VinylSd|BrkFace|350|Gd|TA|PConc|Gd|TA|Av|GLQ|655|Unf|0|490|GasA|Ex|Y|SBrkr|1145|1053|0|1|0|2|1|4|1|Gd|9|Typ|1|TA|Attchd|2000|RFn|3|836|TA|TA|Y|192|84|0|0|0|0|NA|NA|NA|0|WD|Normal|250000,00|N/a|20/12/2008
6|25/02/2018|06/25/2022 12:00:00|50|RL|85|14115|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|Mitchel|Norm|Norm|1Fam|1.5Fin|5|5|1993|1995|Gable|CompShg|VinylSd|VinylSd|None|0|TA|TA|Wood|Gd|TA|No|GLQ|732|Unf|0|64|GasA|Ex|Y|SBrkr|796|566|0|1|0|1|1|1|1|TA|5|Typ|0|NA|Attchd|1993|Unf|2|480|TA|TA|Y|40|30|0|320|0|0|NA|MnPrv|Shed|700|WD|Normal|143000,00|N/a|20/10/2009
7|25/02/2018|06/26/2022 12:00:00|20|RL|75|10084|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|Somerst|Norm|Norm|1Fam|1Story|8|5|2004|2005|Gable|CompShg|VinylSd|VinylSd|Stone|186|Gd|TA|PConc|Ex|TA|Av|GLQ|1369|Unf|0|317|GasA|Ex|Y|SBrkr|1694|0|0|1|0|2|0|3|1|Gd|7|Typ|1|Gd|Attchd|2004|RFn|2|636|TA|TA|Y|255|57|0|0|0|0|NA|NA|NA|0|WD|Normal|307000,00|N/a|20/8/2007
8|25/02/2018|06/27/2022 12:00:00|60|RL|NA|10382|Pave|NA|IR1|Lvl|AllPub|Corner|Gtl|NWAmes|PosN|Norm|1Fam|2Story|7|6|1973|1973|Gable|CompShg|HdBoard|HdBoard|Stone|240|TA|TA|CBlock|Gd|TA|Mn|ALQ|859|BLQ|32|216|GasA|Ex|Y|SBrkr|1107|983|0|1|0|2|1|3|1|TA|7|Typ|2|TA|Attchd|1973|RFn|2|484|TA|TA|Y|235|204|228|0|0|0|NA|NA|Shed|350|WD|Normal|200000,00|N/a|20/11/2009
9|25/02/2018|06/28/2022 12:00:00|50|RM|51|6120|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|OldTown|Artery|Norm|1Fam|1.5Fin|7|5|1931|1950|Gable|CompShg|BrkFace|Wd Shng|None|0|TA|TA|BrkTil|TA|TA|No|Unf|0|Unf|0|952|GasA|Gd|Y|FuseF|1022|752|0|0|0|2|0|2|2|TA|8|Min1|2|TA|Detchd|1931|Unf|2|468|Fa|TA|Y|90|0|205|0|0|0|NA|NA|NA|0|WD|Abnorml|129900,00|N/a|20/4/2008
10|25/02/2018|06/29/2022 12:00:00|190|RL|50|7420|Pave|NA|Reg|Lvl|AllPub|Corner|Gtl|BrkSide|Artery|Artery|2fmCon|1.5Unf|5|6|1939|1950|Gable|CompShg|MetalSd|MetalSd|None|0|TA|TA|BrkTil|TA|TA|No|GLQ|851|Unf|0|140|GasA|Ex|Y|SBrkr|1077|0|0|1|0|1|0|2|2|TA|5|Typ|2|TA|Attchd|1939|RFn|1|205|Gd|TA|Y|0|4|0|0|0|0|NA|NA|NA|0|WD|Normal|118000,00|N/a|20/1/2008
